language,sentence_id,word_id,word,FFDAvg,FFDStd,TRTAvg,TRTStd
en,ZuCo1-3,0.0,Ford,6.563069710912406,1.318844872814263,7.940504094684145,1.0739706918156198
en,ZuCo1-3,1.0,was,5.833839743033249,1.7661433061916394,5.833839743033249,1.7661433061916394
en,ZuCo1-3,2.0,forced,6.144437692315113,1.7482213433697706,7.616401886737853,3.795519586331812
en,ZuCo1-3,3.0,out,10.625922389096276,9.571958601824935,15.01866481465405,11.252442415855224
en,ZuCo1-3,4.0,of,5.889084437569549,1.5560833038267294,12.540545659740037,9.991872572776307
en,ZuCo1-3,5.0,the,7.353068842781491,0.0,7.353068842781491,0.0
en,ZuCo1-3,6.0,company,6.83219029429638,1.9893146179855976,13.699105825158432,12.197955041539322
en,ZuCo1-3,7.0,by,6.811670836325755,1.8189083915346336,13.33054479160912,9.020210535864654
en,ZuCo1-3,8.0,the,8.032578585577978,2.6538553060054,15.23096228365783,6.71515885286526
en,ZuCo1-3,9.0,"investors,",6.974949600177484,3.781602354528841,15.691948568066287,8.947925510529398
en,ZuCo1-3,10.0,including,6.519663165205313,2.614184215746881,6.519663165205313,2.614184215746881
en,ZuCo1-3,11.0,Henry,8.231459485908658,2.85645630012682,9.944045016533948,5.580070218944932
en,ZuCo1-3,12.0,M.,5.77307057904332,2.1173497652798057,5.77307057904332,2.1173497652798057
en,ZuCo1-3,13.0,Leland,7.818965766704285,3.3212817528871663,10.401655236276296,7.133318022952111
en,ZuCo1-3,14.0,in,5.35636774025523,1.7178904791152432,11.563503776369476,7.060278034165469
en,ZuCo1-3,15.0,"1902,",8.252452469832452,3.814853880839116,14.675753103568018,10.591640894123325
en,ZuCo1-3,16.0,and,6.097172786989611,1.888086613632371,6.097172786989611,1.888086613632371
en,ZuCo1-3,17.0,the,7.319308196120419,1.3867861120738398,9.554263005083389,5.698934157366375
en,ZuCo1-3,18.0,company,5.3780710131087766,1.8729328440454065,6.958069276846948,3.678567868261197
en,ZuCo1-3,19.0,was,5.246404491130596,0.8910508558929272,9.75682688504982,4.8798349207917
en,ZuCo1-3,20.0,reorganized,4.588071881239691,0.9883166227192824,4.588071881239691,0.9883166227192824
en,ZuCo1-3,21.0,as,9.09106693289348,4.726314973927013,15.289521659866308,11.645087214232523
en,ZuCo1-3,22.0,Cadillac.,6.828244244686644,1.6970321328610658,14.374669518345184,19.50935049641124
en,ZuCo1-4,0.0,In,5.505686257487628,1.0451589564195216,5.505686257487628,1.0451589564195216
en,ZuCo1-4,1.0,"1891,",6.1106770456540405,1.542181757246592,10.053920575667256,4.298007450656127
en,ZuCo1-4,2.0,Ford,5.995890847006396,1.8078187944179984,12.39015732461344,10.783378325090364
en,ZuCo1-4,3.0,became,8.352997813888518,4.022199242461633,24.53969331302433,20.44989940724673
en,ZuCo1-4,4.0,an,7.251786902798275,0.7121496126326279,10.695372862227623,5.264167194859067
en,ZuCo1-4,5.0,engineer,6.780102439447869,1.471424279033826,12.466359927077002,10.49844417493423
en,ZuCo1-4,6.0,with,7.0559751521640575,2.809291549898905,19.64869635674393,16.89390956179473
en,ZuCo1-4,7.0,the,7.681222328327112,3.810161429486419,20.594669676187166,16.56478312557817
en,ZuCo1-4,8.0,Edison,8.360100703186042,3.5235386576359944,9.271638163034986,3.657249842133343
en,ZuCo1-4,9.0,Illuminating,7.690675309392212,3.5807570632841137,16.022802905344793,8.343929308539964
en,ZuCo1-4,10.0,"Company,",6.402860096757136,2.722332763511816,20.60074659258616,9.232114114338438
en,ZuCo1-4,11.0,and,7.523222501953295,3.660727803188644,19.397517145585557,10.02332255679636
en,ZuCo1-4,12.0,after,5.560378505078566,1.8434982483877889,13.12006250542582,11.058891498301952
en,ZuCo1-4,13.0,his,7.049223022831843,2.6331746165841308,14.870214428335792,12.83229149563644
en,ZuCo1-4,14.0,promotion,10.715629250224268,7.406229655490367,12.842549989871806,7.636502454775599
en,ZuCo1-4,15.0,to,6.756426141789455,2.828061115558371,13.557048039207949,11.25373562072668
en,ZuCo1-4,16.0,Chief,6.107300980987933,2.877597981673257,9.176143762479382,6.3504212510304106
en,ZuCo1-4,17.0,Engineer,6.607265466541445,1.6288155965842042,20.672564695483352,17.96258403188318
en,ZuCo1-4,18.0,in,4.922302283184304,1.2031680624408656,4.922302283184304,1.2031680624408656
en,ZuCo1-4,19.0,"1893,",8.14914489104957,2.6266920004370253,26.34343258963452,20.39019023306508
en,ZuCo1-4,20.0,he,6.593454292907371,0.4726731673874829,6.593454292907371,0.4726731673874829
en,ZuCo1-4,21.0,had,6.496223630523483,2.1005102759441514,13.217293167809704,6.797534968580757
en,ZuCo1-4,22.0,enough,6.708915704488237,4.880789193015732,9.953989061550482,8.993979980222234
en,ZuCo1-4,23.0,time,4.5982000752380126,1.3312007492002018,7.565760916746245,4.665671044893597
en,ZuCo1-4,24.0,and,8.010480707763458,3.662905725686284,14.065299228941909,9.649575470858734
en,ZuCo1-4,25.0,money,6.311311745811269,1.467475103419219,10.530427988540673,5.910324694227058
en,ZuCo1-4,26.0,to,6.812223283271117,1.053117903773853,17.471134647104783,10.82211628477734
en,ZuCo1-4,27.0,devote,14.238215122840526,12.755029487381853,19.792516711520097,16.25812201219338
en,ZuCo1-4,28.0,attention,6.728014584599357,4.307431382043724,8.41218855803455,5.509796048502082
en,ZuCo1-4,29.0,to,5.064096999160807,1.5815556798518615,6.806146366872124,4.4804639339584105
en,ZuCo1-4,30.0,his,9.488670891570449,7.18794397995672,20.114593280666725,17.00204936560252
en,ZuCo1-4,31.0,personal,6.137685562982898,2.272149208627128,8.568452122580085,4.812124128142861
en,ZuCo1-4,32.0,experiments,6.401018606939259,2.8472477252321693,7.920247706687502,3.2121547705466647
